sample_id,frame_id,source_path,annotation_path,unannotated_preview,review_status,reference_notes
A_cal_11,A_123_FUJI_CNS09315,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09315.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_11_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_11_preview.jpg,校准画面与背景,
A_cal_12,A_123_FUJI_CNS09737,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09737.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_12_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_12_preview.jpg,校准画面与背景,
A_cal_13,A_124_FUJI_CNS00289,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00289.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_13_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_13_preview.jpg,校准画面与背景,
A_cal_14,A_124_FUJI_CNS00711,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00711.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_14_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_14_preview.jpg,校准画面与背景,
A_cal_15,A_124_FUJI_CNS01133,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01133.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_15_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_15_preview.jpg,校准画面与背景,
A_cal_16,A_124_FUJI_CNS01555,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01555.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_16_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_16_preview.jpg,校准画面与背景,
A_cal_17,A_124_FUJI_CNS01977,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01977.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_17_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_17_preview.jpg,校准画面与背景,
A_cal_18,A_124_FUJI_CNS02399,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02399.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_18_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_18_preview.jpg,校准画面与背景,
A_cal_19,A_124_FUJI_CNS02821,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02821.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_19_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_19_preview.jpg,校准画面与背景,
A_cal_20,A_124_FUJI_CNS03243,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS03243.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_cal_20_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_cal_20_preview.jpg,校准画面与背景,
A_val_01,A_123_FUJI_CNS05209,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05209.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_01_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_01_preview.jpg,模型目视参考计数,右1株基部两只经局部放大确认；顶部部分可见虫计入
A_val_02,A_123_FUJI_CNS05477,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05477.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_02_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_02_preview.jpg,模型目视参考计数,左4株基部三只经局部放大确认
A_val_03,A_123_FUJI_CNS05744,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05744.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_03_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_03_preview.jpg,模型目视参考计数,左2株基部四只经局部放大确认
A_val_04,A_123_FUJI_CNS06011,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06011.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_04_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_04_preview.jpg,模型目视参考计数,左4株相邻两只经局部放大确认
A_val_05,A_123_FUJI_CNS06279,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06279.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_05_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_05_preview.jpg,模型目视参考计数,
A_val_06,A_123_FUJI_CNS06546,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06546.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_06_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_06_preview.jpg,模型目视参考计数,
A_val_07,A_123_FUJI_CNS06813,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06813.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_07_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_07_preview.jpg,模型目视参考计数,
A_val_08,A_123_FUJI_CNS07081,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07081.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_08_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_08_preview.jpg,模型目视参考计数,右侧最外株顶部部分可见虫；左4株基部悬空和地面虫分开；左5株顶部三只经放大确认
A_val_09,A_123_FUJI_CNS07348,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07348.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_09_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_09_preview.jpg,模型目视参考计数,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株
A_val_10,A_123_FUJI_CNS07615,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07615.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_10_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_10_preview.jpg,模型目视参考计数,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株
A_val_11,A_123_FUJI_CNS07882,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07882.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_11_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_11_preview.jpg,模型目视参考计数,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株
A_val_12,A_123_FUJI_CNS08150,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08150.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_12_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_12_preview.jpg,模型目视参考计数,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株
A_val_13,A_123_FUJI_CNS08417,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08417.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_13_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_13_preview.jpg,模型目视参考计数,
A_val_14,A_123_FUJI_CNS08684,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08684.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_14_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_14_preview.jpg,模型目视参考计数,
A_val_15,A_123_FUJI_CNS08952,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08952.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_15_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_15_preview.jpg,模型目视参考计数,左5株顶部放大确认四只；右4株基部悬空虫归属不明，另列
A_val_16,A_123_FUJI_CNS09219,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09219.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_16_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_16_preview.jpg,模型目视参考计数,顶部部分可见虫计入；右4株基部悬空虫不计
A_val_17,A_123_FUJI_CNS09486,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09486.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_17_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_17_preview.jpg,模型目视参考计数,左侧两株间悬空虫另列
A_val_18,A_123_FUJI_CNS09754,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09754.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_18_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_18_preview.jpg,模型目视参考计数,
A_val_19,A_124_FUJI_CNS00151,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00151.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_19_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_19_preview.jpg,模型目视参考计数,
A_val_20,A_124_FUJI_CNS00418,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00418.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_20_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_20_preview.jpg,模型目视参考计数,基部地面虫不计入植株
A_val_21,A_124_FUJI_CNS00685,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00685.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_21_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_21_preview.jpg,模型目视参考计数,
A_val_22,A_124_FUJI_CNS00953,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00953.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_22_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_22_preview.jpg,模型目视参考计数,左2株左侧悬空虫另列
A_val_23,A_124_FUJI_CNS01220,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01220.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_23_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_23_preview.jpg,模型目视参考计数,顶部部分可见虫计入
A_val_24,A_124_FUJI_CNS01487,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01487.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_24_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_24_preview.jpg,模型目视参考计数,右2株底部水平躺卧虫列为其他位置
A_val_25,A_124_FUJI_CNS01755,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01755.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_25_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_25_preview.jpg,模型目视参考计数,顶部部分可见虫计入；基部地面和倒影不计
A_val_26,A_124_FUJI_CNS02022,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02022.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_26_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_26_preview.jpg,模型目视参考计数,顶部部分可见虫计入；基部地面和倒影不计
A_val_27,A_124_FUJI_CNS02289,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02289.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_27_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_27_preview.jpg,模型目视参考计数,顶部部分可见虫计入；基部地面和倒影不计
A_val_28,A_124_FUJI_CNS02557,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02557.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_28_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_28_preview.jpg,模型目视参考计数,顶部部分可见虫计入；基部地面和倒影不计
A_val_29,A_124_FUJI_CNS02831,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02831.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_29_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_29_preview.jpg,模型目视参考计数,顶部部分可见虫计入；基部地面和倒影不计
A_val_30,A_124_FUJI_CNS03091,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS03091.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/A_val_30_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/A_val_30_preview.jpg,模型目视参考计数,顶部部分可见虫计入；基部地面和倒影不计
B_cal_01,B_124_FUJI_CNS03244,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03244.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_01_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_01_preview.jpg,校准画面与背景,
B_cal_02,B_124_FUJI_CNS03637,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03637.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_02_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_02_preview.jpg,校准画面与背景,
B_cal_03,B_124_FUJI_CNS04029,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04029.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_03_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_03_preview.jpg,校准画面与背景,
B_cal_04,B_124_FUJI_CNS04422,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04422.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_04_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_04_preview.jpg,校准画面与背景,
B_cal_05,B_124_FUJI_CNS04815,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04815.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_05_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_05_preview.jpg,校准画面与背景,
B_cal_06,B_124_FUJI_CNS05207,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05207.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_06_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_06_preview.jpg,校准画面与背景,
B_cal_07,B_124_FUJI_CNS05600,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05600.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_07_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_07_preview.jpg,校准画面与背景,
B_cal_08,B_124_FUJI_CNS05993,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05993.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_08_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_08_preview.jpg,校准画面与背景,
B_cal_09,B_124_FUJI_CNS06385,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06385.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_09_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_09_preview.jpg,校准画面与背景,
B_cal_10,B_124_FUJI_CNS06778,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06778.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_10_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_10_preview.jpg,校准画面与背景,
B_cal_11,B_124_FUJI_CNS07171,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07171.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_11_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_11_preview.jpg,校准画面与背景,
B_cal_12,B_124_FUJI_CNS07564,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07564.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_12_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_12_preview.jpg,校准画面与背景,
B_cal_13,B_124_FUJI_CNS07956,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07956.JPG,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/evidence/B_cal_13_计数标注.jpg,/Volumes/115/Codex/取食偏好/analysis_results/褐飞虱偏好_20260916/qa/B_cal_13_preview.jpg,校准画面与背景,
