version,group,sample_id,side,reference_count,auto_count,error,reference_status,notes,reviewer,inspection_before_predictions,independent_human_expert
v1,A,A_val_15,left,19.0,18,-1.0,reviewed,左5株顶部放大确认四只；右4株基部悬空虫归属不明，另列,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_15,right,8.0,8,0.0,reviewed,左5株顶部放大确认四只；右4株基部悬空虫归属不明，另列,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_16,left,18.0,18,0.0,reviewed,顶部部分可见虫计入；右4株基部悬空虫不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_16,right,10.0,10,0.0,reviewed,顶部部分可见虫计入；右4株基部悬空虫不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_17,left,17.0,16,-1.0,reviewed,左侧两株间悬空虫另列,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_17,right,11.0,11,0.0,reviewed,左侧两株间悬空虫另列,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_18,left,18.0,17,-1.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_18,right,10.0,10,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_19,left,18.0,18,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_19,right,11.0,11,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_20,left,17.0,17,0.0,reviewed,基部地面虫不计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_20,right,10.0,11,1.0,reviewed,基部地面虫不计入植株,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_21,left,17.0,17,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_21,right,11.0,13,2.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_22,left,15.0,12,-3.0,reviewed,左2株左侧悬空虫另列,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_22,right,11.0,12,1.0,reviewed,左2株左侧悬空虫另列,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_23,left,14.0,13,-1.0,reviewed,顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_23,right,11.0,13,2.0,reviewed,顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_24,left,14.0,12,-2.0,reviewed,右2株底部水平躺卧虫列为其他位置,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_24,right,11.0,13,2.0,reviewed,右2株底部水平躺卧虫列为其他位置,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_25,left,14.0,12,-2.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_25,right,12.0,14,2.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_26,left,14.0,13,-1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_26,right,12.0,14,2.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_27,left,13.0,12,-1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_27,right,12.0,13,1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_28,left,14.0,14,0.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_28,right,12.0,13,1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_29,left,14.0,14,0.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_29,right,12.0,13,1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_30,left,13.0,12,-1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,A,A_val_30,right,12.0,11,-1.0,reviewed,顶部部分可见虫计入；基部地面和倒影不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_01,left,,20,,unresolved_overlap,已检查原图和原分辨率茎基部裁剪；基部密集虫团遮挡、个体与倒影边界无法可靠逐一确定，未强行给出精确数。,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_01,right,,14,,unresolved_overlap,已检查原图和原分辨率茎基部裁剪；基部密集虫团遮挡、个体与倒影边界无法可靠逐一确定，未强行给出精确数。,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_02,left,,17,,unresolved_overlap,已检查原图和原分辨率茎基部裁剪；基部密集虫团遮挡、个体与倒影边界无法可靠逐一确定，未强行给出精确数。,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_02,right,,20,,unresolved_overlap,已检查原图和原分辨率茎基部裁剪；基部密集虫团遮挡、个体与倒影边界无法可靠逐一确定，未强行给出精确数。,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_03,left,,21,,unresolved_overlap,已检查原图和原分辨率茎基部裁剪；基部密集虫团遮挡、个体与倒影边界无法可靠逐一确定，未强行给出精确数。,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_03,right,,19,,unresolved_overlap,已检查原图和原分辨率茎基部裁剪；基部密集虫团遮挡、个体与倒影边界无法可靠逐一确定，未强行给出精确数。,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_04,left,,22,,unresolved_overlap_or_assignment,基部多虫重叠，个体边界与水面倒影交叠，无法建立可靠的整数参考,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_04,right,,15,,unresolved_overlap_or_assignment,基部多虫重叠，个体边界与水面倒影交叠，无法建立可靠的整数参考,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_05,left,26.0,25,-1.0,reviewed,右2株旁悬空虫未计入；下缘倒影不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_05,right,17.0,16,-1.0,reviewed,右2株旁悬空虫未计入；下缘倒影不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_06,left,26.0,26,0.0,unresolved_overlap_or_assignment,左侧可判定；右1株旁虫体是否附着于植株无法可靠确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_06,right,,17,,unresolved_overlap_or_assignment,左侧可判定；右1株旁虫体是否附着于植株无法可靠确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_07,left,26.0,22,-4.0,reviewed,基部放大核对；右2株旁悬空虫不计入,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_07,right,17.0,16,-1.0,reviewed,基部放大核对；右2株旁悬空虫不计入,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_08,left,,24,,unresolved_overlap_or_assignment,左侧相邻虫体重叠，整数参考不确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_08,right,17.0,17,0.0,unresolved_overlap_or_assignment,左侧相邻虫体重叠，整数参考不确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_09,left,,18,,unresolved_overlap_or_assignment,左4株密集重叠；右1株交叠个体边界不清,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_09,right,,15,,unresolved_overlap_or_assignment,左4株密集重叠；右1株交叠个体边界不清,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_10,left,,28,,unresolved_overlap_or_assignment,左侧叶面及基部重叠；右侧完成核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_10,right,11.0,8,-3.0,unresolved_overlap_or_assignment,左侧叶面及基部重叠；右侧完成核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_11,left,28.0,23,-5.0,reviewed,放大基部核对；箱壁和水面虫不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_11,right,12.0,12,0.0,reviewed,放大基部核对；箱壁和水面虫不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_12,left,,24,,unresolved_overlap_or_assignment,左3株基部重叠个体数不确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_12,right,13.0,10,-3.0,unresolved_overlap_or_assignment,左3株基部重叠个体数不确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_13,left,,23,,unresolved_overlap_or_assignment,左5株基部密集；右侧细叶边缘和水面附近归属不清,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_13,right,,7,,unresolved_overlap_or_assignment,左5株基部密集；右侧细叶边缘和水面附近归属不清,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_14,left,25.0,20,-5.0,reviewed,放大基部核对；右1株旁悬空虫不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_14,right,13.0,10,-3.0,reviewed,放大基部核对；右1株旁悬空虫不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_15,left,,22,,unresolved_overlap_or_assignment,左1、5株基部重叠不确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_15,right,13.0,11,-2.0,unresolved_overlap_or_assignment,左1、5株基部重叠不确定,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_16,left,26.0,22,-4.0,reviewed,可辨识分离虫体与部分可见虫体计入,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_16,right,17.0,10,-7.0,reviewed,可辨识分离虫体与部分可见虫体计入,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_17,left,,20,,unresolved_overlap_or_assignment,左1株基部虫体与水面交叠；右侧完成核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_17,right,13.0,9,-4.0,unresolved_overlap_or_assignment,左1株基部虫体与水面交叠；右侧完成核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_18,left,22.0,19,-3.0,unresolved_overlap_or_assignment,右3株顶部重叠；右侧参考未确认,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_18,right,,8,,unresolved_overlap_or_assignment,右3株顶部重叠；右侧参考未确认,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_19,left,21.0,19,-2.0,unresolved_overlap_or_assignment,右1株细叶附近个体和枯鞘边缘难区分,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_19,right,,14,,unresolved_overlap_or_assignment,右1株细叶附近个体和枯鞘边缘难区分,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_20,left,22.0,17,-5.0,reviewed,原始像素基部核对，游离虫不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_20,right,10.0,10,0.0,reviewed,原始像素基部核对，游离虫不计,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_21,left,19.0,17,-2.0,reviewed,基部不可明确附着的虫列为其他，不计入参考,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_21,right,12.0,10,-2.0,reviewed,基部不可明确附着的虫列为其他，不计入参考,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_22,left,18.0,17,-1.0,reviewed,基部五只可分辨；右1株中段补核一只,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_22,right,13.0,9,-4.0,reviewed,基部五只可分辨；右1株中段补核一只,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_23,left,21.0,16,-5.0,reviewed,放大基部核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_23,right,10.0,10,0.0,reviewed,放大基部核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_24,left,18.0,15,-3.0,reviewed,放大基部核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_24,right,11.0,8,-3.0,reviewed,放大基部核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_25,left,,14,,unresolved_overlap_or_assignment,左1株基部及右5株基部密集重叠,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_25,right,,9,,unresolved_overlap_or_assignment,左1株基部及右5株基部密集重叠,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_26,left,18.0,16,-2.0,reviewed,基部放大核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_26,right,11.0,11,0.0,reviewed,基部放大核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_27,left,,10,,unresolved_overlap_or_assignment,左4株基部密集重叠,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_27,right,4.0,4,0.0,unresolved_overlap_or_assignment,左4株基部密集重叠,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_28,left,19.0,16,-3.0,reviewed,叶面相邻个体经放大区分,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_28,right,8.0,4,-4.0,reviewed,叶面相邻个体经放大区分,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_29,left,15.0,13,-2.0,reviewed,左3株顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_29,right,7.0,6,-1.0,reviewed,左3株顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_30,left,18.0,13,-5.0,reviewed,左3株基部顺序核对,Codex image inspection; not an independent human expert,True,False
v1,B,B_val_30,right,9.0,7,-2.0,reviewed,左3株基部顺序核对,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_01,left,,18,,unresolved,基部密集重叠，左右均不能可靠给出整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_01,right,,14,,unresolved,基部密集重叠，左右均不能可靠给出整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_02,left,,33,,unresolved,左侧基部密集重叠；右1基部接触和倒影界限不清，右侧初估16不作为可靠整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_02,right,,16,,unresolved,左侧基部密集重叠；右1基部接触和倒影界限不清，右侧初估16不作为可靠整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_03,left,40.0,37,-3.0,reviewed,基部局部放大逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_03,right,21.0,20,-1.0,reviewed,基部局部放大逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_04,left,38.0,35,-3.0,reviewed,基部局部放大逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_04,right,17.0,16,-1.0,reviewed,基部局部放大逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_05,left,,34,,unresolved,左3和左4虫体重叠；右4下部重叠，不能可靠区分个体,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_05,right,,16,,unresolved,左3和左4虫体重叠；右4下部重叠，不能可靠区分个体,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_06,left,,35,,unresolved,左3上部重叠；右1和右2有重叠，整数计数不能确定,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_06,right,,19,,unresolved,左3上部重叠；右1和右2有重叠，整数计数不能确定,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_07,left,,38,,unresolved,顶部边缘及茎部邻接个体尚不能可靠分开，不记录推测整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_07,right,,20,,unresolved,顶部边缘及茎部邻接个体尚不能可靠分开，不记录推测整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_08,left,,35,,unresolved,左2密集重叠及飞行/株上归属不清；右1中部重叠,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_08,right,,14,,unresolved,左2密集重叠及飞行/株上归属不清；右1中部重叠,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_09,left,40.0,37,-3.0,reviewed,全图及基部逐体计数，飞行虫体不纳入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_09,right,16.0,15,-1.0,reviewed,全图及基部逐体计数，飞行虫体不纳入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_10,left,,34,,partly_unresolved,左1上部密集重叠；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_10,right,17.0,17,0.0,partly_unresolved,左1上部密集重叠；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_11,left,,39,,partly_unresolved,左1中部和右1上部密集重叠，不能可靠给出整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_11,right,,14,,partly_unresolved,左1中部和右1上部密集重叠，不能可靠给出整数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_12,left,,35,,partly_unresolved,左侧多个重叠簇；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_12,right,11.0,11,0.0,partly_unresolved,左侧多个重叠簇；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_13,left,,45,,partly_unresolved,左3顶部重叠；右侧逐体计数，离株飞行候选排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_13,right,9.0,9,0.0,partly_unresolved,左3顶部重叠；右侧逐体计数，离株飞行候选排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_14,left,,36,,partly_unresolved,左3、左4基部重叠；右侧顶部截断归属未定,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_14,right,,11,,partly_unresolved,左3、左4基部重叠；右侧顶部截断归属未定,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_15,left,,35,,partly_unresolved,左1基部重叠；右侧局部放大确认右1底部3只,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_15,right,13.0,14,1.0,partly_unresolved,左1基部重叠；右侧局部放大确认右1底部3只,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_16,left,,32,,partly_unresolved,左1中部重叠；右侧逐体计数，离株飞行虫排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_16,right,13.0,13,0.0,partly_unresolved,左1中部重叠；右侧逐体计数，离株飞行虫排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_17,left,,33,,partly_unresolved,左2密集重叠；右侧逐体计数，墙面虫不计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_17,right,14.0,12,-2.0,partly_unresolved,左2密集重叠；右侧逐体计数，墙面虫不计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_18,left,,39,,partly_unresolved,左3密集重叠；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_18,right,8.0,8,0.0,partly_unresolved,左3密集重叠；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_19,left,37.0,34,-3.0,reviewed,全图及基部逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_19,right,7.0,6,-1.0,reviewed,全图及基部逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_20,left,,30,,partly_unresolved,左1及左3基部重叠；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_20,right,13.0,12,-1.0,partly_unresolved,左1及左3基部重叠；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_21,left,,34,,partly_unresolved,左3基部密集重叠；右側逐体计数，离株飞行虫排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_21,right,10.0,9,-1.0,partly_unresolved,左3基部密集重叠；右側逐体计数，离株飞行虫排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_22,left,,30,,partly_unresolved,左1基部密集重叠；右2基部两只局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_22,right,8.0,8,0.0,partly_unresolved,左1基部密集重叠；右2基部两只局部放大确认,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_23,left,,29,,partly_unresolved,左1中部、左4顶部存在重叠；右側逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_23,right,12.0,13,1.0,partly_unresolved,左1中部、左4顶部存在重叠；右側逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_24,left,32.0,31,-1.0,reviewed,全图及基部逐体计数；顶部可辨认的截断虫计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_24,right,11.0,11,0.0,reviewed,全图及基部逐体计数；顶部可辨认的截断虫计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_25,left,,28,,partly_unresolved,左1基部叠靠不能可靠分开；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_25,right,11.0,10,-1.0,partly_unresolved,左1基部叠靠不能可靠分开；右侧逐体计数,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_26,left,,30,,partly_unresolved,左侧基部重叠，右3近水面个体归属不确定,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_26,right,,8,,partly_unresolved,左侧基部重叠，右3近水面个体归属不确定,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_27,left,,29,,partly_unresolved,左3基部密集重叠；右侧逐体计数，底部横卧虫不计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_27,right,7.0,6,-1.0,partly_unresolved,左3基部密集重叠；右侧逐体计数，底部横卧虫不计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_28,left,28.0,27,-1.0,reviewed,全图及基部逐体计数，离株飞行虫排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_28,right,13.0,12,-1.0,reviewed,全图及基部逐体计数，离株飞行虫排除,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_29,left,,25,,unresolved,整幅明显失焦，左右计数均留空,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_29,right,,6,,unresolved,整幅明显失焦，左右计数均留空,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_30,left,29.0,30,1.0,reviewed,全图及基部逐体计数，边缘可辨认虫体计入,Codex image inspection; not an independent human expert,True,False
v1,C,C_val_30,right,11.0,9,-2.0,reviewed,全图及基部逐体计数，边缘可辨认虫体计入,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_01,left,13.0,13,0.0,reviewed,右1株基部两只经局部放大确认；顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_01,right,8.0,8,0.0,reviewed,右1株基部两只经局部放大确认；顶部部分可见虫计入,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_02,left,21.0,20,-1.0,reviewed,左4株基部三只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_02,right,10.0,9,-1.0,reviewed,左4株基部三只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_03,left,21.0,19,-2.0,reviewed,左2株基部四只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_03,right,10.0,10,0.0,reviewed,左2株基部四只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_04,left,20.0,21,1.0,reviewed,左4株相邻两只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_04,right,10.0,9,-1.0,reviewed,左4株相邻两只经局部放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_05,left,19.0,19,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_05,right,9.0,9,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_06,left,19.0,19,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_06,right,9.0,9,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_07,left,19.0,19,0.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_07,right,9.0,10,1.0,reviewed,,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_08,left,19.0,21,2.0,reviewed,右侧最外株顶部部分可见虫；左4株基部悬空和地面虫分开；左5株顶部三只经放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_08,right,9.0,10,1.0,reviewed,右侧最外株顶部部分可见虫；左4株基部悬空和地面虫分开；左5株顶部三只经放大确认,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_09,left,19.0,20,1.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
v2_候选修正未采用,A,A_val_09,right,10.0,10,0.0,reviewed,左5株顶部计数使用原分辨率裁剪核验；地面虫未计入植株,Codex image inspection; not an independent human expert,True,False
