frame_id,group,group_label,sequence_index,source_path,relative_path,size_bytes,mtime_ns,split,sample_id
A_123_FUJI_CNS09315,A,ZH11 B3-OE,4220,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09315.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS09315.JPG,5945959,1685062994000000000,calibration,A_cal_11
A_123_FUJI_CNS09737,A,ZH11 B3-OE,4642,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09737.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS09737.JPG,5937108,1685067214000000000,calibration,A_cal_12
A_124_FUJI_CNS00289,A,ZH11 B3-OE,5064,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00289.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00289.JPG,5966070,1685072724000000000,calibration,A_cal_13
A_124_FUJI_CNS00711,A,ZH11 B3-OE,5486,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00711.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00711.JPG,5960112,1685076944000000000,calibration,A_cal_14
A_124_FUJI_CNS01133,A,ZH11 B3-OE,5908,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01133.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS01133.JPG,5968657,1685081164000000000,calibration,A_cal_15
A_124_FUJI_CNS01555,A,ZH11 B3-OE,6330,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01555.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS01555.JPG,5919651,1685085384000000000,calibration,A_cal_16
A_124_FUJI_CNS01977,A,ZH11 B3-OE,6752,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01977.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS01977.JPG,5946139,1685089604000000000,calibration,A_cal_17
A_124_FUJI_CNS02399,A,ZH11 B3-OE,7174,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02399.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS02399.JPG,5974682,1685093824000000000,calibration,A_cal_18
A_124_FUJI_CNS02821,A,ZH11 B3-OE,7596,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02821.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS02821.JPG,5975403,1685098044000000000,calibration,A_cal_19
A_124_FUJI_CNS03243,A,ZH11 B3-OE,8018,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS03243.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS03243.JPG,6037418,1685102264000000000,calibration,A_cal_20
A_123_FUJI_CNS05209,A,ZH11 B3-OE,114,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05209.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS05209.JPG,5928436,1685021934000000000,holdout,A_val_01
A_123_FUJI_CNS05477,A,ZH11 B3-OE,382,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05477.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS05477.JPG,5958640,1685024614000000000,holdout,A_val_02
A_123_FUJI_CNS05744,A,ZH11 B3-OE,649,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS05744.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS05744.JPG,5949180,1685027284000000000,holdout,A_val_03
A_123_FUJI_CNS06011,A,ZH11 B3-OE,916,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06011.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS06011.JPG,5946823,1685029954000000000,holdout,A_val_04
A_123_FUJI_CNS06279,A,ZH11 B3-OE,1184,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06279.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS06279.JPG,5946219,1685032634000000000,holdout,A_val_05
A_123_FUJI_CNS06546,A,ZH11 B3-OE,1451,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06546.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS06546.JPG,5946915,1685035304000000000,holdout,A_val_06
A_123_FUJI_CNS06813,A,ZH11 B3-OE,1718,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS06813.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS06813.JPG,5963265,1685037974000000000,holdout,A_val_07
A_123_FUJI_CNS07081,A,ZH11 B3-OE,1986,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07081.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS07081.JPG,5976431,1685040654000000000,holdout,A_val_08
A_123_FUJI_CNS07348,A,ZH11 B3-OE,2253,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07348.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS07348.JPG,5960200,1685043324000000000,holdout,A_val_09
A_123_FUJI_CNS07615,A,ZH11 B3-OE,2520,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07615.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS07615.JPG,5922371,1685045994000000000,holdout,A_val_10
A_123_FUJI_CNS07882,A,ZH11 B3-OE,2787,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS07882.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS07882.JPG,5965688,1685048664000000000,holdout,A_val_11
A_123_FUJI_CNS08150,A,ZH11 B3-OE,3055,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08150.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08150.JPG,5934768,1685051344000000000,holdout,A_val_12
A_123_FUJI_CNS08417,A,ZH11 B3-OE,3322,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08417.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08417.JPG,5963316,1685054014000000000,holdout,A_val_13
A_123_FUJI_CNS08684,A,ZH11 B3-OE,3589,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08684.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08684.JPG,5966399,1685056684000000000,holdout,A_val_14
A_123_FUJI_CNS08952,A,ZH11 B3-OE,3857,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS08952.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS08952.JPG,5903670,1685059364000000000,holdout,A_val_15
A_123_FUJI_CNS09219,A,ZH11 B3-OE,4124,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09219.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS09219.JPG,5945550,1685062034000000000,holdout,A_val_16
A_123_FUJI_CNS09486,A,ZH11 B3-OE,4391,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09486.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS09486.JPG,5941254,1685064704000000000,holdout,A_val_17
A_123_FUJI_CNS09754,A,ZH11 B3-OE,4659,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/123_FUJI/CNS09754.JPG,2023-05-26   ZH11  B3-OE/123_FUJI/CNS09754.JPG,5941909,1685067384000000000,holdout,A_val_18
A_124_FUJI_CNS00151,A,ZH11 B3-OE,4926,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00151.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00151.JPG,5973595,1685071344000000000,holdout,A_val_19
A_124_FUJI_CNS00418,A,ZH11 B3-OE,5193,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00418.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00418.JPG,5961348,1685074014000000000,holdout,A_val_20
A_124_FUJI_CNS00685,A,ZH11 B3-OE,5460,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00685.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00685.JPG,5938932,1685076684000000000,holdout,A_val_21
A_124_FUJI_CNS00953,A,ZH11 B3-OE,5728,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS00953.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS00953.JPG,5938875,1685079364000000000,holdout,A_val_22
A_124_FUJI_CNS01220,A,ZH11 B3-OE,5995,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01220.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS01220.JPG,5966941,1685082034000000000,holdout,A_val_23
A_124_FUJI_CNS01487,A,ZH11 B3-OE,6262,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01487.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS01487.JPG,5959894,1685084704000000000,holdout,A_val_24
A_124_FUJI_CNS01755,A,ZH11 B3-OE,6530,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS01755.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS01755.JPG,5961118,1685087384000000000,holdout,A_val_25
A_124_FUJI_CNS02022,A,ZH11 B3-OE,6797,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02022.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS02022.JPG,5927552,1685090054000000000,holdout,A_val_26
A_124_FUJI_CNS02289,A,ZH11 B3-OE,7064,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02289.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS02289.JPG,5949322,1685092724000000000,holdout,A_val_27
A_124_FUJI_CNS02557,A,ZH11 B3-OE,7332,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02557.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS02557.JPG,5955702,1685095404000000000,holdout,A_val_28
A_124_FUJI_CNS02831,A,ZH11 B3-OE,7606,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS02831.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS02831.JPG,5958978,1685098144000000000,holdout,A_val_29
A_124_FUJI_CNS03091,A,ZH11 B3-OE,7866,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-26   ZH11  B3-OE/124_FUJI/CNS03091.JPG,2023-05-26   ZH11  B3-OE/124_FUJI/CNS03091.JPG,5931199,1685100744000000000,holdout,A_val_30
B_124_FUJI_CNS03244,B,BPH33,0,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03244.JPG,2023-05-27   BPH33/124_FUJI/CNS03244.JPG,5926731,1685104022000000000,calibration,B_cal_01
B_124_FUJI_CNS03637,B,BPH33,393,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03637.JPG,2023-05-27   BPH33/124_FUJI/CNS03637.JPG,5953162,1685107952000000000,calibration,B_cal_02
B_124_FUJI_CNS04029,B,BPH33,785,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04029.JPG,2023-05-27   BPH33/124_FUJI/CNS04029.JPG,5841855,1685111872000000000,calibration,B_cal_03
B_124_FUJI_CNS04422,B,BPH33,1178,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04422.JPG,2023-05-27   BPH33/124_FUJI/CNS04422.JPG,5879273,1685115802000000000,calibration,B_cal_04
B_124_FUJI_CNS04815,B,BPH33,1571,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04815.JPG,2023-05-27   BPH33/124_FUJI/CNS04815.JPG,5860733,1685119732000000000,calibration,B_cal_05
B_124_FUJI_CNS05207,B,BPH33,1963,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05207.JPG,2023-05-27   BPH33/124_FUJI/CNS05207.JPG,5896265,1685123652000000000,calibration,B_cal_06
B_124_FUJI_CNS05600,B,BPH33,2356,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05600.JPG,2023-05-27   BPH33/124_FUJI/CNS05600.JPG,5866656,1685127582000000000,calibration,B_cal_07
B_124_FUJI_CNS05993,B,BPH33,2749,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05993.JPG,2023-05-27   BPH33/124_FUJI/CNS05993.JPG,5867284,1685131512000000000,calibration,B_cal_08
B_124_FUJI_CNS06385,B,BPH33,3141,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06385.JPG,2023-05-27   BPH33/124_FUJI/CNS06385.JPG,5918562,1685135432000000000,calibration,B_cal_09
B_124_FUJI_CNS06778,B,BPH33,3534,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06778.JPG,2023-05-27   BPH33/124_FUJI/CNS06778.JPG,5871686,1685139362000000000,calibration,B_cal_10
B_124_FUJI_CNS07171,B,BPH33,3927,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07171.JPG,2023-05-27   BPH33/124_FUJI/CNS07171.JPG,5885745,1685143292000000000,calibration,B_cal_11
B_124_FUJI_CNS07564,B,BPH33,4320,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07564.JPG,2023-05-27   BPH33/124_FUJI/CNS07564.JPG,5893999,1685147222000000000,calibration,B_cal_12
B_124_FUJI_CNS07956,B,BPH33,4712,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07956.JPG,2023-05-27   BPH33/124_FUJI/CNS07956.JPG,5883342,1685151142000000000,calibration,B_cal_13
B_124_FUJI_CNS08349,B,BPH33,5105,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS08349.JPG,2023-05-27   BPH33/124_FUJI/CNS08349.JPG,5873345,1685155072000000000,calibration,B_cal_14
B_125_FUJI_CNS00038,B,BPH33,5498,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS00038.JPG,2023-05-27   BPH33/125_FUJI/CNS00038.JPG,5879582,1685171952000000000,calibration,B_cal_15
B_125_FUJI_CNS00430,B,BPH33,5890,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS00430.JPG,2023-05-27   BPH33/125_FUJI/CNS00430.JPG,5899007,1685175872000000000,calibration,B_cal_16
B_125_FUJI_CNS00823,B,BPH33,6283,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS00823.JPG,2023-05-27   BPH33/125_FUJI/CNS00823.JPG,5871797,1685179802000000000,calibration,B_cal_17
B_125_FUJI_CNS01216,B,BPH33,6676,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS01216.JPG,2023-05-27   BPH33/125_FUJI/CNS01216.JPG,5867744,1685183732000000000,calibration,B_cal_18
B_125_FUJI_CNS01608,B,BPH33,7068,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS01608.JPG,2023-05-27   BPH33/125_FUJI/CNS01608.JPG,5835940,1685187652000000000,calibration,B_cal_19
B_125_FUJI_CNS02001,B,BPH33,7461,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS02001.JPG,2023-05-27   BPH33/125_FUJI/CNS02001.JPG,5891976,1685191584000000000,calibration,B_cal_20
B_124_FUJI_CNS03350,B,BPH33,106,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03350.JPG,2023-05-27   BPH33/124_FUJI/CNS03350.JPG,5881273,1685105082000000000,holdout,B_val_01
B_124_FUJI_CNS03599,B,BPH33,355,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03599.JPG,2023-05-27   BPH33/124_FUJI/CNS03599.JPG,5986763,1685107572000000000,holdout,B_val_02
B_124_FUJI_CNS03848,B,BPH33,604,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS03848.JPG,2023-05-27   BPH33/124_FUJI/CNS03848.JPG,5849211,1685110062000000000,holdout,B_val_03
B_124_FUJI_CNS04097,B,BPH33,853,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04097.JPG,2023-05-27   BPH33/124_FUJI/CNS04097.JPG,5879332,1685112552000000000,holdout,B_val_04
B_124_FUJI_CNS04345,B,BPH33,1101,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04345.JPG,2023-05-27   BPH33/124_FUJI/CNS04345.JPG,5892926,1685115032000000000,holdout,B_val_05
B_124_FUJI_CNS04594,B,BPH33,1350,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04594.JPG,2023-05-27   BPH33/124_FUJI/CNS04594.JPG,5863831,1685117522000000000,holdout,B_val_06
B_124_FUJI_CNS04843,B,BPH33,1599,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS04843.JPG,2023-05-27   BPH33/124_FUJI/CNS04843.JPG,5877731,1685120012000000000,holdout,B_val_07
B_124_FUJI_CNS05092,B,BPH33,1848,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05092.JPG,2023-05-27   BPH33/124_FUJI/CNS05092.JPG,5880746,1685122502000000000,holdout,B_val_08
B_124_FUJI_CNS05340,B,BPH33,2096,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05340.JPG,2023-05-27   BPH33/124_FUJI/CNS05340.JPG,5922245,1685124982000000000,holdout,B_val_09
B_124_FUJI_CNS05589,B,BPH33,2345,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05589.JPG,2023-05-27   BPH33/124_FUJI/CNS05589.JPG,5862372,1685127472000000000,holdout,B_val_10
B_124_FUJI_CNS05838,B,BPH33,2594,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS05838.JPG,2023-05-27   BPH33/124_FUJI/CNS05838.JPG,5859868,1685129962000000000,holdout,B_val_11
B_124_FUJI_CNS06087,B,BPH33,2843,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06087.JPG,2023-05-27   BPH33/124_FUJI/CNS06087.JPG,5856392,1685132452000000000,holdout,B_val_12
B_124_FUJI_CNS06335,B,BPH33,3091,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06335.JPG,2023-05-27   BPH33/124_FUJI/CNS06335.JPG,5886801,1685134932000000000,holdout,B_val_13
B_124_FUJI_CNS06584,B,BPH33,3340,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06584.JPG,2023-05-27   BPH33/124_FUJI/CNS06584.JPG,5906749,1685137422000000000,holdout,B_val_14
B_124_FUJI_CNS06833,B,BPH33,3589,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS06833.JPG,2023-05-27   BPH33/124_FUJI/CNS06833.JPG,5880402,1685139912000000000,holdout,B_val_15
B_124_FUJI_CNS07081,B,BPH33,3837,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07081.JPG,2023-05-27   BPH33/124_FUJI/CNS07081.JPG,5919708,1685142392000000000,holdout,B_val_16
B_124_FUJI_CNS07330,B,BPH33,4086,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07330.JPG,2023-05-27   BPH33/124_FUJI/CNS07330.JPG,5889842,1685144882000000000,holdout,B_val_17
B_124_FUJI_CNS07579,B,BPH33,4335,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07579.JPG,2023-05-27   BPH33/124_FUJI/CNS07579.JPG,5913271,1685147372000000000,holdout,B_val_18
B_124_FUJI_CNS07828,B,BPH33,4584,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS07828.JPG,2023-05-27   BPH33/124_FUJI/CNS07828.JPG,5910152,1685149864000000000,holdout,B_val_19
B_124_FUJI_CNS08076,B,BPH33,4832,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS08076.JPG,2023-05-27   BPH33/124_FUJI/CNS08076.JPG,5906714,1685152342000000000,holdout,B_val_20
B_124_FUJI_CNS08325,B,BPH33,5081,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS08325.JPG,2023-05-27   BPH33/124_FUJI/CNS08325.JPG,5866047,1685154834000000000,holdout,B_val_21
B_124_FUJI_CNS08574,B,BPH33,5330,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/124_FUJI/CNS08574.JPG,2023-05-27   BPH33/124_FUJI/CNS08574.JPG,5888467,1685157322000000000,holdout,B_val_22
B_125_FUJI_CNS00119,B,BPH33,5579,/Volumes/FAFU 二次备份/2022-11-09   褐飞虱偏好性/2023-05-27   BPH33/125_FUJI/CNS00119.JPG,2023-05-27   BPH33/125_FUJI/CNS00119.JPG,5877697,1685172762000000000,holdout,B_val_23
